Element,TheoreticalValue,ExperimentalValue
Se,11222.55,11222.52
Br,11924.02,11924.36
Kr,12648.00,12648.002
Rb,13395.05,13395.49
Sr,14164.80,14165.20
Y,14958.14,14958.54
Zr,15774.87,15774.914
Nb,16615.65,16615.16
Mo,17479.10,17479.372
Tc,18367.56,18367.2 *
Ru,19279.51,19279.16
Rh,20215.75,20216.12
Pd,21177.25,21177.08
Ag,22162.99,22162.917
Cd,23173.73,23173.98
In,24209.78,24209.75
Sn,25271.34,25271.36
Sb,26358.69,26358.86
Te,27472.09,27472.57
I,28 11.94,28612.32
Xe,29778.3,29778.78
Cs,30972.05,30973.13
Ba,32192.87,32193.262
La,33441.62,33442.12
Ce,34720.09,34720.00
Pr,36026.27,36026.71
Nd,37361.4,37360.739