Element,TheoreticalValue,ExperimentalValue,Z
Se,11222.55,11222.52,34
Br,11924.02,11924.36,35
Kr,12648.00,12648.002,36
Rb,13395.05,13395.49,37
Sr,14164.80,14165.20,38
Y,14958.14,14958.54,39
Zr,15774.87,15774.914,40
Nb,16615.65,16615.16,41
Mo,17479.10,17479.372,42
Tc,18367.56,18367.2,43
Ru,19279.51,19279.16,44
Rh,20215.75,20216.12,45
Pd,21177.25,21177.08,46
Ag,22162.99,22162.917,47
Cd,23173.73,23173.98,48
In,24209.78,24209.75,49
Sn,25271.34,25271.36,50
Sb,26358.69,26358.86,51
Te,27472.09,27472.57,52
I,2811.94,28612.32,53
Xe,29778.3,29778.78,54
Cs,30972.05,30973.13,55
Ba,32192.87,32193.262,56
La,33441.62,33442.12,57
Ce,34720.09,34720.00,58
Pr,36026.27,36026.71,59
Nd,37361.4,37360.739,60